WAR,Age,AB,H,3B,RBI,BB,BA,OBP,SLG,OPS,OPS+
10.8,25,520,180,5,80,81,0.346,0.438,0.64,1.078,186
10.2,26,471,147,4,79,122,0.312,0.46,0.628,1.088,199
8.2,25,547,152,6,68,58,0.278,0.356,0.508,0.864,136
7.9,24,661,183,2,92,70,0.277,0.352,0.519,0.871,131
7.9,25,578,156,4,105,106,0.27,0.387,0.552,0.939,150
7.6,26,574,187,7,110,68,0.326,0.402,0.598,1,164
6.9,32,539,166,2,38,71,0.308,0.395,0.417,0.813,119
6.9,24,594,170,1,103,96,0.286,0.394,0.532,0.926,156
6.4,30,569,188,2,130,69,0.33,0.402,0.629,1.031,173
6.3,25,606,176,9,111,29,0.29,0.326,0.554,0.881,126
6.2,28,554,162,5,75,35,0.292,0.337,0.417,0.754,109
6.1,27,596,170,4,93,70,0.285,0.366,0.493,0.859,139
6.1,28,618,191,4,98,76,0.309,0.388,0.505,0.892,140
5.6,27,590,175,2,110,73,0.297,0.374,0.561,0.935,133
5.6,25,598,174,6,108,47,0.291,0.348,0.567,0.914,127
5.5,29,632,192,3,60,61,0.304,0.367,0.438,0.806,121
5.5,26,413,115,0,67,76,0.278,0.392,0.528,0.919,145
5.4,30,593,172,5,83,90,0.29,0.389,0.533,0.922,139
5.2,28,534,169,2,61,55,0.316,0.386,0.451,0.837,133
4.9,32,564,145,0,81,102,0.257,0.374,0.523,0.897,143
4.8,34,596,159,1,99,78,0.267,0.353,0.448,0.801,120
4.7,28,480,119,3,79,90,0.248,0.366,0.467,0.833,123
4.5,33,365,114,1,52,47,0.312,0.406,0.518,0.924,151
4.4,25,433,114,8,47,80,0.263,0.404,0.483,0.886,150
4.3,28,586,178,3,63,32,0.304,0.341,0.415,0.755,112
4.2,27,395,104,2,79,79,0.263,0.391,0.582,0.973,161
